Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,False,45.01104474067688,1.0,[1.],[1.],[1.],[5],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,52.94571852684021,1.0,[1. 1.],[1. 1.],[1. 1.],[8 2],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,40.63026666641235,1.0,[1. 1.],[1. 1.],[1. 1.],[10  5],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,49.855090618133545,1.0,[1. 1.],[1. 1.],[1. 1.],[11  9],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,True,52.97290134429932,0.96,[0.92857143 1.        ],[1.         0.91666667],[0.96296296 0.95652174],[13 12],0.9597423510466988,0.9598711755233496,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,39.97550535202026,0.97,[0.94444444 1.        ],[1.         0.92307692],[0.97142857 0.96      ],[17 13],0.9657142857142856,0.9664761904761904,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,True,67.7265076637268,0.94,[0.95238095 0.92857143],[0.95238095 0.92857143],[0.95238095 0.92857143],[21 14],0.9404761904761904,0.9428571428571428,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,True,69.21552205085754,0.93,[0.95652174 0.88235294],[0.91666667 0.9375    ],[0.93617021 0.90909091],[24 16],0.9226305609284332,0.925338491295938,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,41.953139543533325,0.93,[0.96 0.9 ],[0.92307692 0.94736842],[0.94117647 0.92307692],[26 19],0.9321266968325792,0.9335344394167924,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,39.73502278327942,0.94,[0.96551724 0.9047619 ],[0.93333333 0.95      ],[0.94915254 0.92682927],[30 20],0.9379909053327822,0.940223232740802,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,False,39.66999864578247,0.95,[0.96774194 0.91666667],[0.9375     0.95652174],[0.95238095 0.93617021],[32 23],0.9442755825734548,0.9456019158146818,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,50.08964157104492,0.95,[0.96969697 0.92592593],[0.94117647 0.96153846],[0.95522388 0.94339623],[34 26],0.9493100535060546,0.9500985637848494,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,49.63086557388306,0.95,[0.97142857 0.93333333],[0.94444444 0.96551724],[0.95774648 0.94915254],[36 29],0.9534495106230604,0.9539122610500028,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,44.44298553466797,0.96,[0.97368421 0.9375    ],[0.94871795 0.96774194],[0.96103896 0.95238095],[39 31],0.9567099567099566,0.957204700061843,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,56.04699993133545,0.96,[0.97435897 0.94444444],[0.95       0.97142857],[0.96202532 0.95774648],[40 35],0.9598858976644676,0.9600285255838829,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,44.79603862762451,0.96,[0.97560976 0.94871795],[0.95238095 0.97368421],[0.96385542 0.96103896],[42 38],0.962447191362854,0.9625176028790486,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,48.40140104293823,0.96,[0.97674419 0.95238095],[0.95454545 0.97560976],[0.96551724 0.96385542],[44 41],0.9646863315330289,0.9647156577628976,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,44.63202738761902,0.97,[0.97826087 0.95454545],[0.95744681 0.97674419],[0.96774194 0.96551724],[47 43],0.9666295884315907,0.9666790260783588,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
