Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,False,34.7611141204834,1.0,[1. 1.],[1. 1.],[1. 1.],[3 2],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,34.26031255722046,1.0,[1. 1.],[1. 1.],[1. 1.],[6 4],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,40.71475791931152,1.0,[1. 1.],[1. 1.],[1. 1.],[8 7],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,True,210.52672934532168,1.0,[1. 1.],[1. 1.],[1. 1.],[10 10],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,36.37841606140137,1.0,[1. 1.],[1. 1.],[1. 1.],[14 11],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,41.174728870391846,1.0,[1. 1.],[1. 1.],[1. 1.],[15 15],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,41.54483342170715,1.0,[1. 1.],[1. 1.],[1. 1.],[18 17],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,44.11231470108032,1.0,[1. 1.],[1. 1.],[1. 1.],[18 22],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,35.53001356124878,1.0,[1. 1.],[1. 1.],[1. 1.],[22 23],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,36.9650194644928,1.0,[1. 1.],[1. 1.],[1. 1.],[24 26],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,False,39.11714339256287,1.0,[1. 1.],[1. 1.],[1. 1.],[25 30],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,True,545.0297842025757,1.0,[1. 1.],[1. 1.],[1. 1.],[27 33],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,True,587.4541623592377,1.0,[1. 1.],[1. 1.],[1. 1.],[30 35],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,39.29712867736816,1.0,[1. 1.],[1. 1.],[1. 1.],[34 36],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,43.76276969909668,1.0,[1. 1.],[1. 1.],[1. 1.],[36 39],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,37.24854278564453,1.0,[1. 1.],[1. 1.],[1. 1.],[40 40],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,38.82436776161194,1.0,[1. 1.],[1. 1.],[1. 1.],[43 42],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,40.12487077713013,1.0,[1. 1.],[1. 1.],[1. 1.],[45 45],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,37.20551729202271,1.0,[1. 1.],[1. 1.],[1. 1.],[49 46],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
