Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,False,58.82237243652344,1.0,[1. 1.],[1. 1.],[1. 1.],[3 2],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,51.785959243774414,1.0,[1. 1.],[1. 1.],[1. 1.],[6 4],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,True,64.41169691085815,0.93,[0.88888889 1.        ],[1.         0.85714286],[0.94117647 0.92307692],[8 7],0.9321266968325792,0.9327300150829564,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,47.63830351829529,0.95,[0.9 1. ],[1.         0.90909091],[0.94736842 0.95238095],[ 9 11],0.949874686716792,0.950125313283208,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,54.61334848403931,0.96,[0.9 1. ],[1.     0.9375],[0.94736842 0.96774194],[ 9 16],0.9575551782682512,0.9604074702886248,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,True,78.04969358444214,0.9,[0.9 0.9],[0.81818182 0.94736842],[0.85714286 0.92307692],[11 19],0.8901098901098901,0.898901098901099,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,77.84587693214417,0.91,[0.90909091 0.91666667],[0.83333333 0.95652174],[0.86956522 0.93617021],[12 23],0.9028677150786308,0.9133342143517906,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,66.76883697509766,0.93,[0.90909091 0.93103448],[0.83333333 0.96428571],[0.86956522 0.94736842],[12 28],0.908466819221968,0.9240274599542332,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,74.17010259628296,0.93,[0.90909091 0.94117647],[0.83333333 0.96969697],[0.86956522 0.95522388],[12 33],0.9123945489941596,0.9323815704088252,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,49.6540322303772,0.94,[0.90909091 0.94871795],[0.83333333 0.97368421],[0.86956522 0.96103896],[12 38],0.9153020892151328,0.9390852625635232,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,False,65.9947783946991,0.95,[0.90909091 0.95454545],[0.83333333 0.97674419],[0.86956522 0.96551724],[12 43],0.9175412293853074,0.944582254327382,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,55.745763301849365,0.95,[0.91666667 0.95833333],[0.84615385 0.9787234 ],[0.88       0.96842105],[13 47],0.9242105263157896,0.9492631578947368,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,True,80.3026795387268,0.92,[0.84615385 0.94230769],[0.78571429 0.96078431],[0.81481481 0.95145631],[14 51],0.8831355627472133,0.922025834647194,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,57.02273941040039,0.93,[0.84615385 0.94736842],[0.78571429 0.96428571],[0.81481481 0.95575221],[14 56],0.8852835136020977,0.9275647328744674,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
