Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,False,55.06114292144776,1.0,[1. 1.],[1. 1.],[1. 1.],[1 4],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,53.00982642173767,1.0,[1. 1.],[1. 1.],[1. 1.],[1 9],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,47.18149375915527,1.0,[1. 1.],[1. 1.],[1. 1.],[ 3 12],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,44.08901929855347,1.0,[1. 1.],[1. 1.],[1. 1.],[ 5 15],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,67.68911266326904,1.0,[1. 1.],[1. 1.],[1. 1.],[ 7 18],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,True,358.90567207336426,0.9,[1.    0.875],[0.66666667 1.        ],[0.8        0.93333333],[ 9 21],0.8666666666666667,0.8933333333333333,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,66.13163566589355,0.91,[1.         0.89655172],[0.66666667 1.        ],[0.8        0.94545455],[ 9 26],0.8727272727272728,0.908051948051948,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,50.406760454177856,0.93,[1.      0.90625],[0.72727273 1.        ],[0.84210526 0.95081967],[11 29],0.8964624676445211,0.920923209663503,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,48.4032256603241,0.93,[1.         0.91891892],[0.72727273 1.        ],[0.84210526 0.95774648],[11 34],0.8999258710155671,0.9294786261428216,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,58.66884231567383,0.94,[1.         0.92857143],[0.72727273 1.        ],[0.84210526 0.96296296],[11 39],0.9025341130604289,0.936374269005848,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,True,690.0909326076508,1.0,[1. 1.],[1. 1.],[1. 1.],[12 43],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,50.810662508010864,1.0,[1. 1.],[1. 1.],[1. 1.],[14 46],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,57.4542543888092,1.0,[1. 1.],[1. 1.],[1. 1.],[15 50],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,50.93291902542114,1.0,[1. 1.],[1. 1.],[1. 1.],[17 53],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,51.34864521026611,1.0,[1. 1.],[1. 1.],[1. 1.],[18 57],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,50.62011861801148,1.0,[1. 1.],[1. 1.],[1. 1.],[19 61],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,59.70609974861145,1.0,[1. 1.],[1. 1.],[1. 1.],[20 65],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,51.88370800018311,1.0,[1. 1.],[1. 1.],[1. 1.],[21 69],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,53.838831424713135,1.0,[1. 1.],[1. 1.],[1. 1.],[22 73],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,45.97190189361572,1.0,[1. 1.],[1. 1.],[1. 1.],[25 75],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,False,54.46222853660584,1.0,[1. 1.],[1. 1.],[1. 1.],[25 80],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,True,1220.147704124451,0.96,[0.95833333 0.96511628],[0.88461538 0.98809524],[0.92       0.97647059],[26 84],0.9482352941176472,0.9631229946524064,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,False,47.33821678161621,0.97,[0.96       0.96666667],[0.88888889 0.98863636],[0.92307692 0.97752809],[27 88],0.9503025064822818,0.964743902897298,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,48.311692237854,0.97,[0.96428571 0.9673913 ],[0.9        0.98888889],[0.93103448 0.97802198],[30 90],0.9545282303902992,0.9662751042061386,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,False,60.92823553085327,0.97,[0.96428571 0.96907216],[0.9        0.98947368],[0.93103448 0.97916667],[30 95],0.9551005747126436,0.9676149425287356,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
25,25,False,48.43664240837097,0.97,[0.96666667 0.97      ],[0.90625    0.98979592],[0.93548387 0.97979798],[32 98],0.9576409253828608,0.9688898914705366,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
26,26,False,53.26465439796448,0.97,[0.96666667 0.97142857],[0.90625    0.99029126],[0.93548387 0.98076923],[ 32 103],0.9581265508684864,0.9700349232607296,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
27,27,False,59.2537693977356,0.97,[0.96666667 0.97272727],[0.90625    0.99074074],[0.93548387 0.98165138],[ 32 108],0.9585676235572654,0.9710988035344352,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
28,28,False,46.391557693481445,0.97,[0.96774194 0.97368421],[0.90909091 0.99107143],[0.9375     0.98230088],[ 33 112],0.959900442477876,0.9721048214830638,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
