Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,63.73802709579468,0.6,[1.  0.5],[0.33333333 1.        ],[0.5        0.66666667],[3 2],0.5833333333333333,0.5666666666666667,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,39.66561412811279,0.8,[1.         0.66666667],[0.66666667 1.        ],[0.8 0.8],[6 4],0.8,0.8,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,36.730008602142334,0.87,[1.         0.71428571],[0.8 1. ],[0.88888889 0.83333333],[10  5],0.8611111111111112,0.8703703703703705,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,True,67.84533619880676,0.85,[1.         0.72727273],[0.75 1.  ],[0.85714286 0.84210526],[12  8],0.849624060150376,0.8511278195488721,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,42.85047245025635,0.88,[1.         0.78571429],[0.78571429 1.        ],[0.88 0.88],[14 11],0.88,0.88,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,42.2027645111084,0.9,[1.     0.8125],[0.82352941 1.        ],[0.90322581 0.89655172],[17 13],0.899888765294772,0.900333704115684,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,True,55.78159308433533,0.89,[1.         0.77777778],[0.80952381 1.        ],[0.89473684 0.875     ],[21 14],0.8848684210526316,0.8868421052631579,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,59.52859568595886,0.9,[1.         0.81818182],[0.81818182 1.        ],[0.9 0.9],[22 18],0.9,0.9,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,51.45839881896973,0.91,[1.         0.83333333],[0.84 1.  ],[0.91304348 0.90909091],[25 20],0.9110671936758892,0.9112867808519982,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,45.73461151123047,0.92,[1.         0.85714286],[0.84615385 1.        ],[0.91666667 0.92307692],[26 24],0.9198717948717948,0.9197435897435898,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,False,55.94214820861816,0.93,[1.    0.875],[0.85185185 1.        ],[0.92       0.93333333],[27 28],0.9266666666666667,0.9267878787878788,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,47.29325842857361,0.93,[1.         0.88571429],[0.86206897 1.        ],[0.92592593 0.93939394],[29 31],0.9326599326599329,0.9328843995510662,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,43.11372208595276,0.94,[1.         0.89473684],[0.87096774 1.        ],[0.93103448 0.94444444],[31 34],0.9377394636015326,0.9380489242558208,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,52.80963444709778,0.94,[1.        0.9047619],[0.875 1.   ],[0.93333333 0.95      ],[32 38],0.9416666666666668,0.9423809523809524,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,58.687723875045776,0.95,[1.         0.91304348],[0.87878788 1.        ],[0.93548387 0.95454545],[33 42],0.9450146627565984,0.9461583577712612,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,True,70.0204963684082,0.94,[1.         0.89583333],[0.86486486 1.        ],[0.92753623 0.94505495],[37 43],0.9362955884695014,0.9369525402134098,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,48.66597199440002,0.94,[1.         0.90384615],[0.86842105 1.        ],[0.92957746 0.94949495],[38 47],0.9395362071418408,0.940590662214523,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,44.466150999069214,0.94,[1.         0.90909091],[0.875 1.   ],[0.93333333 0.95238095],[40 50],0.9428571428571428,0.943915343915344,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,60.4382917881012,0.95,[1.         0.91666667],[0.875 1.   ],[0.93333333 0.95652174],[40 55],0.944927536231884,0.9467581998474448,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,46.7221314907074,0.95,[1.       0.921875],[0.87804878 1.        ],[0.93506494 0.95934959],[41 59],0.947207264280435,0.949392883539225,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
