Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,106.4864444732666,1.0,[1. 1.],[1. 1.],[1. 1.],[2 3],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,56.22403836250305,1.0,[1. 1.],[1. 1.],[1. 1.],[2 8],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,44.4740047454834,1.0,[1. 1.],[1. 1.],[1. 1.],[ 4 11],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,True,265.193621635437,0.75,[1.         0.73684211],[0.16666667 1.        ],[0.28571429 0.84848485],[ 6 14],0.5670995670995671,0.6796536796536796,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,True,410.4564950466156,0.92,[1.         0.88888889],[0.77777778 1.        ],[0.875      0.94117647],[ 9 16],0.9080882352941176,0.9173529411764706,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,True,482.1535556316376,0.93,[1.  0.9],[0.83333333 1.        ],[0.90909091 0.94736842],[12 18],0.9282296650717704,0.9320574162679426,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,True,482.67083954811096,0.83,[1.         0.78571429],[0.53846154 1.        ],[0.7  0.88],[13 22],0.79,0.8131428571428572,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,True,534.3648936748505,0.95,[1.         0.91666667],[0.88888889 1.        ],[0.94117647 0.95652174],[18 22],0.948849104859335,0.949616368286445,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,53.14589428901672,0.96,[1.         0.92857143],[0.89473684 1.        ],[0.94444444 0.96296296],[19 26],0.9537037037037036,0.9551440329218108,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,True,614.2921204566956,0.94,[1.      0.90625],[0.85714286 1.        ],[0.92307692 0.95081967],[21 29],0.9369482976040352,0.9391677175283732,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,True,696.4618911743164,0.95,[1.         0.91666667],[0.86363636 1.        ],[0.92682927 0.95652174],[22 33],0.941675503711559,0.944644750795334,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,55.96640610694885,0.95,[1.    0.925],[0.86956522 1.        ],[0.93023256 0.96103896],[23 37],0.945635759589248,0.9492298399275144,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,54.44662523269653,0.95,[1.         0.92857143],[0.88461538 1.        ],[0.93877551 0.96296296],[26 39],0.9508692365835224,0.9532879818594104,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,54.12422156333923,0.96,[1.         0.93181818],[0.89655172 1.        ],[0.94545455 0.96470588],[29 41],0.9550802139037432,0.9567303284950344,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,50.49397563934326,0.96,[1.     0.9375],[0.9 1. ],[0.94736842 0.96774194],[30 45],0.9575551782682512,0.9595925297113752,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,49.03940033912659,0.96,[1.         0.93877551],[0.91176471 1.        ],[0.95384615 0.96842105],[34 46],0.9611336032388664,0.9622267206477734,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,53.740933418273926,0.96,[1.         0.94444444],[0.91176471 1.        ],[0.95384615 0.97142857],[34 51],0.9626373626373628,0.9643956043956045,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,True,1008.1135303974152,0.94,[1.        0.9137931],[0.86486486 1.        ],[0.92753623 0.95495495],[37 53],0.9412455934195064,0.9436828132480308,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,41.03964042663574,0.95,[1.         0.91525424],[0.87804878 1.        ],[0.93506494 0.95575221],[41 54],0.9454085737271578,0.946824019017778,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,51.31953763961792,0.95,[1.       0.921875],[0.87804878 1.        ],[0.93506494 0.95934959],[41 59],0.947207264280435,0.949392883539225,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,False,64.04926323890686,0.95,[1.         0.92424242],[0.88636364 1.        ],[0.93975904 0.96062992],[44 61],0.9501944787022104,0.9518840265448746,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,False,45.7609977722168,0.95,[1.         0.92647059],[0.89361702 1.        ],[0.94382022 0.96183206],[47 63],0.9528261428939018,0.954136094628418,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,False,54.41097331047058,0.96,[1.         0.92957746],[0.89795918 1.        ],[0.94623656 0.96350365],[49 66],0.9548701043874108,0.9561463675979294,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,54.349570512771606,0.96,[1.         0.93243243],[0.90196078 1.        ],[0.94845361 0.96503497],[51 69],0.9567442866411938,0.9579878884002596,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,True,1391.43501162529,0.98,[1.   0.96],[0.94339623 1.        ],[0.97087379 0.97959184],[53 72],0.9752328115712304,0.9758953833960768,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
25,25,False,63.087451457977295,0.98,[1.         0.96103896],[0.94642857 1.        ],[0.97247706 0.98013245],[56 74],0.9763047572756548,0.9768347455448738,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
