Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,86.6487729549408,0.4,[0.5        0.33333333],[0.33333333 0.5       ],[0.4 0.4],[3 2],0.4,0.4,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,41.51340174674988,0.7,[0.83333333 0.5       ],[0.71428571 0.66666667],[0.76923077 0.57142857],[7 3],0.6703296703296704,0.7098901098901099,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,49.04273176193237,0.8,[0.88888889 0.66666667],[0.8 0.8],[0.84210526 0.72727273],[10  5],0.784688995215311,0.8038277511961722,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,56.86550188064575,0.85,[0.9 0.8],[0.81818182 0.88888889],[0.85714286 0.84210526],[11  9],0.849624060150376,0.8503759398496241,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,True,68.86040377616882,0.84,[0.91666667 0.76923077],[0.78571429 0.90909091],[0.84615385 0.83333333],[14 11],0.8397435897435898,0.8405128205128206,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,50.88658618927002,0.87,[0.92857143 0.8125    ],[0.8125     0.92857143],[0.86666667 0.86666667],[16 14],0.8666666666666667,0.8666666666666667,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,39.603965044021606,0.89,[0.94444444 0.82352941],[0.85       0.93333333],[0.89473684 0.875     ],[20 15],0.8848684210526316,0.8862781954887218,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,True,73.70957851409912,0.88,[0.9047619  0.84210526],[0.86363636 0.88888889],[0.88372093 0.86486486],[22 18],0.8742928975487115,0.8752357008170961,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,47.15258049964905,0.89,[0.91304348 0.86363636],[0.875     0.9047619],[0.89361702 0.88372093],[24 21],0.8886689757545769,0.8889988454560449,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,True,86.9974365234375,0.88,[0.91666667 0.84615385],[0.84615385 0.91666667],[0.88 0.88],[26 24],0.88,0.88,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,True,120.02172493934631,0.85,[0.88461538 0.82758621],[0.82142857 0.88888889],[0.85185185 0.85714286],[28 27],0.8544973544973544,0.8544492544492545,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,61.50222086906433,0.87,[0.89285714 0.84375   ],[0.83333333 0.9       ],[0.86206897 0.87096774],[30 30],0.8665183537263625,0.8665183537263625,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,True,140.0848753452301,0.85,[0.86666667 0.82857143],[0.8125     0.87878788],[0.83870968 0.85294118],[32 33],0.8458254269449715,0.8459349000145964,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,True,102.23312664031982,0.84,[0.86666667 0.825     ],[0.78787879 0.89189189],[0.82539683 0.85714286],[33 37],0.8412698412698412,0.8421768707482993,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,48.49195957183838,0.85,[0.87878788 0.83333333],[0.80555556 0.8974359 ],[0.84057971 0.86419753],[36 39],0.8523886205045625,0.8528609769189479,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
