Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,155.7834529876709,1.0,[1. 1.],[1. 1.],[1. 1.],[1 4],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,47.8696813583374,1.0,[1. 1.],[1. 1.],[1. 1.],[3 7],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,49.71839833259583,1.0,[1. 1.],[1. 1.],[1. 1.],[6 9],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,43.68262600898743,1.0,[1. 1.],[1. 1.],[1. 1.],[ 9 11],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,True,343.6975984573364,0.96,[1.         0.93333333],[0.90909091 1.        ],[0.95238095 0.96551724],[11 14],0.9589490968801312,0.959737274220033,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,True,363.20396280288696,0.93,[0.88235294 1.        ],[1.         0.86666667],[0.9375     0.92857143],[15 15],0.9330357142857144,0.9330357142857144,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,67.91668176651001,0.94,[0.88888889 1.        ],[1.         0.89473684],[0.94117647 0.94444444],[16 19],0.94281045751634,0.9429505135387488,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,True,481.977192401886,0.93,[0.9047619  0.94736842],[0.95 0.9 ],[0.92682927 0.92307692],[20 20],0.9249530956848032,0.924953095684803,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,42.276999950408936,0.93,[0.91666667 0.95238095],[0.95652174 0.90909091],[0.93617021 0.93023256],[23 22],0.933201385452746,0.9332673593930396,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,73.17685842514038,0.94,[0.92307692 0.95833333],[0.96 0.92],[0.94117647 0.93877551],[25 25],0.9399759903961584,0.9399759903961584,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,False,48.298354148864746,0.95,[0.92857143 0.96296296],[0.96296296 0.92857143],[0.94545455 0.94545455],[27 28],0.9454545454545454,0.9454545454545454,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,48.23069190979004,0.95,[0.93103448 0.96774194],[0.96428571 0.9375    ],[0.94736842 0.95238095],[28 32],0.949874686716792,0.9500417710944026,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,True,794.8490598201752,0.92,[0.93333333 0.91428571],[0.90322581 0.94117647],[0.91803279 0.92753623],[31 34],0.922784509384652,0.9230038196538553,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,True,804.178299665451,0.9,[0.88888889 0.91176471],[0.91428571 0.88571429],[0.90140845 0.89855072],[35 35],0.8999795876709533,0.8999795876709533,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,46.91898107528687,0.91,[0.89473684 0.91891892],[0.91891892 0.89473684],[0.90666667 0.90666667],[37 38],0.9066666666666666,0.9066666666666666,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,45.17683625221253,0.91,[0.9   0.925],[0.92307692 0.90243902],[0.91139241 0.91358025],[39 41],0.9124863259884356,0.9125136740115642,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,51.76198077201843,0.92,[0.90909091 0.92682927],[0.93023256 0.9047619 ],[0.91954023 0.91566265],[43 42],0.9176014402437336,0.9176242495336314,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,55.77109861373901,0.92,[0.91304348 0.93181818],[0.93333333 0.91111111],[0.92307692 0.92134831],[45 45],0.9222126188418324,0.9222126188418324,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,52.52090263366699,0.93,[0.91304348 0.93877551],[0.93333333 0.92      ],[0.92307692 0.92929293],[45 50],0.9261849261849262,0.9263485052958736,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,True,1096.524730205536,0.92,[0.9  0.94],[0.9375     0.90384615],[0.91836735 0.92156863],[48 52],0.919967987194878,0.920032012805122,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,True,1151.9566686153412,0.95,[0.94230769 0.96226415],[0.96078431 0.94444444],[0.95145631 0.95327103],[51 54],0.9523636693584974,0.95238959389218,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,False,46.66134238243103,0.95,[0.94444444 0.96428571],[0.96226415 0.94736842],[0.95327103 0.95575221],[53 57],0.954511620213382,0.9545567326561456,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,True,1295.8696174621582,0.87,[0.95555556 0.81428571],[0.76785714 0.96610169],[0.85148515 0.88372093],[56 59],0.8676030393737049,0.8680235060917618,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,True,1349.5061140060425,0.88,[0.97727273 0.81578947],[0.75438596 0.98412698],[0.85148515 0.89208633],[57 63],0.8717857397250517,0.8728007692855617,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,False,45.62414598464966,0.88,[0.97916667 0.81818182],[0.7704918 0.984375 ],[0.86238532 0.89361702],[61 64],0.8780011711887565,0.8783759515908647,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
25,25,True,1518.3193624019625,0.87,[0.96226415 0.80519481],[0.77272727 0.96875   ],[0.85714286 0.87943262],[66 64],0.8682877406281662,0.8681162808822384,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
26,26,False,37.96321868896485,0.87,[0.96428571 0.81012658],[0.7826087  0.96969697],[0.864      0.88275862],[69 66],0.8733793103448275,0.8731708812260537,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
27,27,False,56.73724341392517,0.88,[0.96551724 0.81707317],[0.78873239 0.97101449],[0.86821705 0.88741722],[71 69],0.877817136403306,0.8776799923727383,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
28,28,True,1619.522698879242,0.9,[1.         0.83529412],[0.81081081 1.        ],[0.89552239 0.91025641],[74 71],0.902889399158056,0.9027369782387796,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
29,FINAL_ITER_EVAL,False,0.0,0.9,[1.         0.83529412],[0.81081081 1.        ],[0.89552239 0.91025641],[74 71],0.902889399158056,0.9027369782387796,False,0.8,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
