Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,89.97974419593811,0.4,[1.   0.25],[0.25 1.  ],[0.4 0.4],[4 1],0.4,0.4,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,True,84.84250283241272,0.5,[0.75       0.33333333],[0.42857143 0.66666667],[0.54545455 0.44444444],[7 3],0.4949494949494949,0.5151515151515151,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,70.50036025047302,0.67,[0.8 0.6],[0.5        0.85714286],[0.61538462 0.70588235],[8 7],0.660633484162896,0.6576168929110106,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,True,87.20343732833862,0.7,[0.85714286 0.61538462],[0.54545455 0.88888889],[0.66666667 0.72727273],[11  9],0.696969696969697,0.693939393939394,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,True,89.09018802642822,0.72,[0.875      0.64705882],[0.53846154 0.91666667],[0.66666667 0.75862069],[13 12],0.7126436781609196,0.7108045977011495,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,62.14563155174256,0.77,[0.88888889 0.71428571],[0.57142857 0.9375    ],[0.69565217 0.81081081],[14 16],0.7532314923619272,0.7570701135918528,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,54.95526814460754,0.8,[0.90909091 0.75      ],[0.625      0.94736842],[0.74074074 0.8372093 ],[16 19],0.788975021533161,0.7931093884582258,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,True,131.25553965568542,0.75,[0.83333333 0.71428571],[0.55555556 0.90909091],[0.66666667 0.8       ],[18 22],0.7333333333333334,0.74,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,56.8397068977356,0.78,[0.84615385 0.75      ],[0.57894737 0.92307692],[0.6875     0.82758621],[19 26],0.7575431034482758,0.7684386973180077,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,51.09700131416321,0.8,[0.85714286 0.77777778],[0.6        0.93333333],[0.70588235 0.84848485],[20 30],0.7771836007130125,0.7914438502673797,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,True,87.87886381149292,0.8,[0.875      0.76923077],[0.60869565 0.9375    ],[0.71794872 0.84507042],[23 32],0.7815095702419645,0.7919104369808596,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,43.638978481292725,0.82,[0.9   0.775],[0.66666667 0.93939394],[0.76595745 0.84931507],[27 33],0.8076362576508307,0.8118041387350627,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,True,82.79455924034119,0.82,[0.90909091 0.76744186],[0.66666667 0.94285714],[0.76923077 0.84615385],[30 35],0.8076923076923077,0.8106508875739645,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,True,81.78129768371582,0.81,[0.91666667 0.76086957],[0.66666667 0.94594595],[0.77192982 0.84337349],[33 37],0.8076516592686536,0.8096929069662107,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,63.666754722595215,0.83,[0.92 0.78],[0.67647059 0.95121951],[0.77966102 0.85714286],[34 41],0.8184019370460048,0.8220177562550443,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,84.73180747032166,0.84,[0.92 0.8 ],[0.67647059 0.95652174],[0.77966102 0.87128713],[34 46],0.8254740728310119,0.8323460312132909,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,True,80.45911931991577,0.84,[0.92592593 0.79310345],[0.67567568 0.95833333],[0.78125    0.86792453],[37 48],0.8245872641509434,0.8301956159822419,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,61.12598896026611,0.84,[0.92857143 0.80645161],[0.68421053 0.96153846],[0.78787879 0.87719298],[38 52],0.832535885167464,0.8394825447457025,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,77.6755108833313,0.85,[0.93103448 0.81818182],[0.69230769 0.96428571],[0.79411765 0.8852459 ],[39 56],0.8396817743490839,0.847835355022078,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,63.3903021812439,0.86,[0.93939394 0.82089552],[0.72093023 0.96491228],[0.81578947 0.88709677],[43 57],0.8514431239388794,0.8564346349745331,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,False,62.35427808761597,0.87,[0.94285714 0.82857143],[0.73333333 0.96666667],[0.825      0.89230769],[45 60],0.8586538461538462,0.8634615384615385,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,True,107.28074383735655,0.85,[0.94444444 0.81081081],[0.70833333 0.96774194],[0.80952381 0.88235294],[48 62],0.84593837535014,0.8505729564553094,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,True,90.52434921264648,0.85,[0.92307692 0.81578947],[0.72       0.95384615],[0.80898876 0.87943262],[50 65],0.8442106940792096,0.8488048588662876,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,46.75169444084168,0.86,[0.93023256 0.81818182],[0.74074074 0.95454545],[0.82474227 0.88111888],[54 66],0.852930574580059,0.8557494052339413,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,True,158.6460018157959,0.84,[0.93181818 0.79012346],[0.70689655 0.95522388],[0.80392157 0.86486486],[58 67],0.834393216746158,0.8365871754107049,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
25,25,False,64.91231369972229,0.85,[0.93333333 0.8       ],[0.71186441 0.95774648],[0.80769231 0.87179487],[59 71],0.8397435897435898,0.8427021696252465,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
26,26,True,89.60397243499756,0.84,[0.92 0.8 ],[0.73015873 0.94444444],[0.81415929 0.86624204],[63 72],0.8402006651259795,0.8419367566653515,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
27,27,True,88.69224977493286,0.84,[0.9245283  0.79310345],[0.73134328 0.94520548],[0.81666667 0.8625    ],[67 73],0.8395833333333333,0.8405654761904763,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
28,28,False,57.01732611656189,0.85,[0.92982456 0.79545455],[0.74647887 0.94594595],[0.828125   0.86419753],[71 74],0.8461612654320987,0.846534429544487,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
29,FINAL_ITER_EVAL,False,0.0,0.85,[0.92982456 0.79545455],[0.74647887 0.94594595],[0.828125   0.86419753],[71 74],0.8461612654320987,0.846534429544487,False,0.73,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
