Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,147.32892084121704,1.0,[1. 1.],[1. 1.],[1. 1.],[1 4],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,True,205.0351846218109,0.7,[0.6 0.8],[0.75       0.66666667],[0.66666667 0.72727273],[4 6],0.696969696969697,0.7030303030303029,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,True,253.19133257865903,0.67,[0.66666667 0.66666667],[0.57142857 0.75      ],[0.61538462 0.70588235],[7 8],0.660633484162896,0.6636500754147813,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,51.289034605026245,0.75,[0.77777778 0.72727273],[0.7 0.8],[0.73684211 0.76190476],[10 10],0.7493734335839599,0.7493734335839599,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,True,385.2760591506958,0.88,[1.         0.82352941],[0.72727273 1.        ],[0.84210526 0.90322581],[11 14],0.8726655348047538,0.8763327674023769,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,55.31312274932861,0.9,[1.   0.85],[0.76923077 1.        ],[0.86956522 0.91891892],[13 17],0.8942420681551116,0.8975323149236194,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,True,479.5088784694672,0.89,[1.         0.83333333],[0.73333333 1.        ],[0.84615385 0.90909091],[15 20],0.8776223776223776,0.8821178821178821,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,69.31225419044495,0.9,[1.         0.85185185],[0.76470588 1.        ],[0.86666667 0.92      ],[17 23],0.8933333333333333,0.8973333333333333,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,True,605.7157490253448,0.89,[1.         0.83333333],[0.75 1.  ],[0.85714286 0.90909091],[20 25],0.8831168831168831,0.886002886002886,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,True,681.1159663200378,0.82,[1.         0.73529412],[0.64 1.  ],[0.7804878  0.84745763],[25 25],0.8139727159983464,0.8139727159983464,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,False,54.51192665100098,0.84,[1.         0.75675676],[0.66666667 1.        ],[0.8        0.86153846],[27 28],0.8307692307692308,0.8313286713286714,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,57.28517007827759,0.85,[1.    0.775],[0.68965517 1.        ],[0.81632653 0.87323944],[29 31],0.8447829836159816,0.8457315320494395,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,True,865.8737990856171,0.95,[1.         0.91666667],[0.90625 1.     ],[0.95081967 0.95652174],[32 33],0.9536707056307911,0.9537145676846318,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,59.920167684555054,0.96,[1.         0.91891892],[0.91666667 1.        ],[0.95652174 0.95774648],[36 34],0.957134109001837,0.9571166127197972,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,60.8477840423584,0.96,[1.    0.925],[0.92105263 1.        ],[0.95890411 0.96103896],[38 37],0.959971535314001,0.9599573029710016,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,55.45452260971069,0.96,[1.         0.93023256],[0.925 1.   ],[0.96103896 0.96385542],[40 40],0.962447191362854,0.962447191362854,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,True,1087.9484775066376,0.88,[1.         0.81132075],[0.76190476 1.        ],[0.86486486 0.89583333],[42 43],0.8803490990990992,0.8805312665606784,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,True,1128.0116691589355,0.91,[1.        0.8490566],[0.82222222 1.        ],[0.90243902 0.91836735],[45 45],0.9104031856645096,0.9104031856645096,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,35.53760600090027,0.92,[1.        0.8490566],[0.84 1.  ],[0.91304348 0.91836735],[50 45],0.9157054125998224,0.9155653107925092,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,56.62954068183899,0.92,[1.         0.85714286],[0.84615385 1.        ],[0.91666667 0.92307692],[52 48],0.9198717948717948,0.9197435897435898,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,True,1275.8484122753143,0.91,[1.   0.85],[0.83333333 1.        ],[0.90909091 0.91891892],[54 51],0.914004914004914,0.913864513864514,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,False,63.87371754646301,0.92,[1.       0.859375],[0.83636364 1.        ],[0.91089109 0.92436975],[55 55],0.9176304185040354,0.9176304185040354,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,False,50.33070135116577,0.92,[1.         0.86567164],[0.84210526 1.        ],[0.91428571 0.928     ],[57 58],0.9211428571428572,0.9212024844720496,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
