Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,73.70899176597595,0.8,[1.  0.5],[0.75 1.  ],[0.85714286 0.66666667],[4 1],0.7619047619047619,0.819047619047619,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,True,78.10781812667847,0.7,[1.  0.5],[0.57142857 1.        ],[0.72727273 0.66666667],[7 3],0.696969696969697,0.7090909090909091,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,True,105.06385731697084,0.67,[0.8 0.6],[0.5        0.85714286],[0.61538462 0.70588235],[8 7],0.660633484162896,0.6576168929110106,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,61.199697732925415,0.75,[0.85714286 0.69230769],[0.6 0.9],[0.70588235 0.7826087 ],[10 10],0.7442455242966752,0.7442455242966752,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,True,76.89385795593262,0.76,[0.9        0.66666667],[0.64285714 0.90909091],[0.75       0.76923077],[14 11],0.7596153846153846,0.7584615384615384,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,74.73079323768616,0.8,[0.90909091 0.73684211],[0.66666667 0.93333333],[0.76923077 0.82352941],[15 15],0.7963800904977376,0.7963800904977376,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,62.51828622817993,0.83,[0.93333333 0.75      ],[0.73684211 0.9375    ],[0.82352941 0.83333333],[19 16],0.8284313725490196,0.8280112044817928,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,68.79715538024902,0.85,[0.93333333 0.8       ],[0.73684211 0.95238095],[0.82352941 0.86956522],[19 21],0.8465473145780051,0.84769820971867,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,62.83577585220337,0.87,[0.9375     0.82758621],[0.75 0.96],[0.83333333 0.88888889],[20 25],0.8611111111111112,0.8641975308641975,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,True,88.56041097640991,0.86,[0.94444444 0.8125    ],[0.73913043 0.96296296],[0.82926829 0.88135593],[23 27],0.8553121124431583,0.8573956180239768,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,False,64.10123801231384,0.87,[0.94736842 0.83333333],[0.75       0.96774194],[0.8372093  0.89552239],[24 31],0.8663658451926415,0.8700766779211764,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,True,87.9522693157196,0.87,[0.95238095 0.82051282],[0.74074074 0.96969697],[0.83333333 0.88888889],[27 33],0.8611111111111112,0.8638888888888888,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,47.57412075996399,0.88,[0.95652174 0.83333333],[0.75862069 0.97222222],[0.84615385 0.8974359 ],[29 36],0.8717948717948718,0.8745562130177513,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,True,132.36746907234192,0.84,[0.95833333 0.7826087 ],[0.6969697  0.97297297],[0.80701754 0.86746988],[33 37],0.8372437116888607,0.8389709212791014,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,61.61546063423157,0.85,[0.96296296 0.79166667],[0.72222222 0.97435897],[0.82539683 0.87356322],[36 39],0.849480021893815,0.8504433497536945,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,60.8551824092865,0.86,[0.96666667 0.8       ],[0.74358974 0.97560976],[0.84057971 0.87912088],[39 41],0.8598502946329033,0.8603320592451027,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,True,75.14814496040344,0.86,[0.9375     0.81132075],[0.75       0.95555556],[0.83333333 0.87755102],[40 45],0.8554421768707483,0.8567426970788317,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,56.4400110244751,0.87,[0.94117647 0.82142857],[0.76190476 0.95833333],[0.84210526 0.88461538],[42 48],0.8633603238866396,0.8647773279352227,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,53.4759738445282,0.87,[0.94594595 0.82758621],[0.77777778 0.96      ],[0.85365854 0.88888889],[45 50],0.8712737127371273,0.8722008272714307,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,56.20454025268555,0.88,[0.94871795 0.83606557],[0.78723404 0.96226415],[0.86046512 0.89473684],[47 53],0.8776009791921664,0.8786291309669523,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,False,57.18964886665344,0.89,[0.95       0.84615385],[0.79166667 0.96491228],[0.86363636 0.90163934],[48 57],0.8826378539493294,0.884266553119012,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,False,39.78101658821106,0.89,[0.95348837 0.85074627],[0.80392157 0.96610169],[0.87234043 0.9047619 ],[51 59],0.8885511651469098,0.8897301280280004,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,True,105.44384789466858,0.88,[0.95454545 0.83098592],[0.77777778 0.96721311],[0.85714286 0.89393939],[54 61],0.8755411255411255,0.8766610201392809,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,57.60674023628235,0.88,[0.95744681 0.83561644],[0.78947368 0.96825397],[0.86538462 0.89705882],[57 63],0.8812217194570136,0.8820135746606336,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
