Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,117.5551779270172,0.8,[1.   0.75],[0.5 1. ],[0.66666667 0.85714286],[2 3],0.7619047619047619,0.7809523809523808,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,True,172.93602585792542,0.8,[1.         0.66666667],[0.66666667 1.        ],[0.8 0.8],[6 4],0.8,0.8,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,57.91632080078125,0.87,[1.  0.8],[0.71428571 1.        ],[0.83333333 0.88888889],[7 8],0.8611111111111112,0.8629629629629629,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,True,277.991792678833,1.0,[1. 1.],[1. 1.],[1. 1.],[11  9],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,43.169044733047485,1.0,[1. 1.],[1. 1.],[1. 1.],[14 11],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,True,387.5989239215851,0.97,[1.         0.94117647],[0.92857143 1.        ],[0.96296296 0.96969697],[14 16],0.9663299663299664,0.9665544332211,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,60.185524463653564,0.97,[1.         0.94444444],[0.94444444 1.        ],[0.97142857 0.97142857],[18 17],0.9714285714285714,0.9714285714285714,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,True,515.524377822876,0.95,[0.94736842 0.95238095],[0.94736842 0.95238095],[0.94736842 0.95238095],[19 21],0.949874686716792,0.95,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,49.08737683296204,0.96,[0.95454545 0.95652174],[0.95454545 0.95652174],[0.95454545 0.95652174],[22 23],0.9555335968379448,0.9555555555555556,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,True,586.4201216697693,0.96,[0.96 0.96],[0.96 0.96],[0.96 0.96],[25 25],0.96,0.96,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,True,654.9512641429901,0.98,[0.96428571 1.        ],[1.         0.96428571],[0.98181818 0.98181818],[27 28],0.9818181818181818,0.9818181818181818,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,53.69687080383301,0.98,[0.96551724 1.        ],[1.      0.96875],[0.98245614 0.98412698],[28 32],0.9832915622389308,0.9833472570314676,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,43.64902997016907,0.98,[0.96969697 1.        ],[1.         0.96969697],[0.98461538 0.98461538],[32 33],0.9846153846153848,0.9846153846153848,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,52.61921811103821,0.99,[0.97142857 1.        ],[1.         0.97222222],[0.98550725 0.98591549],[34 36],0.985711369667279,0.9857172017612924,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,73.62529587745667,0.99,[0.97222222 1.        ],[1.    0.975],[0.98591549 0.98734177],[35 40],0.9866286325548226,0.9866761751946278,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,59.45174431800842,0.99,[0.97368421 1.        ],[1.         0.97674419],[0.98666667 0.98823529],[37 43],0.987450980392157,0.9875098039215686,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,67.12164807319641,0.99,[0.97435897 1.        ],[1.        0.9787234],[0.98701299 0.98924731],[38 47],0.988130149420472,0.988248437204794,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,42.27736735343933,0.99,[0.97560976 1.        ],[1.   0.98],[0.98765432 0.98989899],[40 50],0.9887766554433222,0.9889013592717296,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,53.01366686820984,0.99,[0.97674419 1.        ],[1.         0.98113208],[0.98823529 0.99047619],[42 53],0.9893557422969188,0.9894854784018872,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,45.728442907333374,0.99,[0.97826087 1.        ],[1.         0.98181818],[0.98901099 0.99082569],[45 55],0.9899183385421918,0.9900090734953122,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,False,40.690589427948,0.99,[0.98 1.  ],[1.         0.98214286],[0.98989899 0.99099099],[49 56],0.9904449904449903,0.9904813904813904,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,False,53.32121920585632,0.99,[0.98148148 1.        ],[1.         0.98245614],[0.99065421 0.99115044],[53 57],0.9909023240426764,0.990911346531229,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,True,1288.6074874401093,0.96,[0.96226415 0.9516129 ],[0.94444444 0.96721311],[0.95327103 0.95934959],[54 61],0.9563103107666592,0.9564953105849628,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,41.41001033782959,0.96,[0.96428571 0.953125  ],[0.94736842 0.96825397],[0.95575221 0.96062992],[57 63],0.9581910668246116,0.958313009546373,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,False,45.289588928222656,0.96,[0.96551724 0.95522388],[0.94915254 0.96969697],[0.95726496 0.96240602],[59 66],0.9598354861512756,0.9599794357689097,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
25,25,False,55.588555335998535,0.96,[0.96666667 0.95714286],[0.95081967 0.97101449],[0.95867769 0.96402878],[61 69],0.9613532314644152,0.9615178804191232,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
26,26,False,38.76274061203003,0.96,[0.96825397 0.95833333],[0.953125   0.97183099],[0.96062992 0.96503497],[64 71],0.9628324431474038,0.962946647986018,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
27,27,True,1375.7381808757782,0.91,[0.84415584 1.        ],[1.   0.84],[0.91549296 0.91304348],[65 75],0.9142682180036742,0.914180736593474,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
28,28,False,46.71808409690857,0.92,[0.84615385 1.        ],[1.         0.84810127],[0.91666667 0.91780822],[66 79],0.9172374429223744,0.9172886159659897,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
29,FINAL_ITER_EVAL,False,0.0,0.92,[0.84615385 1.        ],[1.         0.84810127],[0.91666667 0.91780822],[66 79],0.9172374429223744,0.9172886159659897,False,0.86,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
