Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,False,54.72525906562805,1.0,[1. 1.],[1. 1.],[1. 1.],[3 2],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,True,61.82334566116333,0.9,[1.  0.8],[0.83333333 1.        ],[0.90909091 0.88888889],[6 4],0.898989898989899,0.901010101010101,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,44.38392090797424,0.93,[1.    0.875],[0.875 1.   ],[0.93333333 0.93333333],[8 7],0.9333333333333332,0.9333333333333332,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,45.58837699890137,0.95,[1.  0.9],[0.90909091 1.        ],[0.95238095 0.94736842],[11  9],0.949874686716792,0.950125313283208,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,60.4644627571106,0.96,[1.         0.92857143],[0.91666667 1.        ],[0.95652174 0.96296296],[12 13],0.9597423510466988,0.9598711755233496,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,45.75135040283203,0.97,[1.     0.9375],[0.93333333 1.        ],[0.96551724 0.96774194],[15 15],0.9666295884315907,0.9666295884315907,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,53.7930326461792,0.97,[1.         0.94444444],[0.94444444 1.        ],[0.97142857 0.97142857],[18 17],0.9714285714285714,0.9714285714285714,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,52.96467685699463,0.97,[1.         0.95238095],[0.95 1.  ],[0.97435897 0.97560976],[20 20],0.9749843652282676,0.9749843652282676,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,47.480021715164185,0.98,[1.   0.96],[0.95238095 1.        ],[0.97560976 0.97959184],[21 24],0.9776007964161274,0.977733532437365,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,39.00280165672302,0.98,[1.         0.96153846],[0.96 1.  ],[0.97959184 0.98039216],[25 25],0.9799919967987194,0.9799919967987194,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,False,34.95673060417175,0.98,[1.         0.96153846],[0.96666667 1.        ],[0.98305085 0.98039216],[30 25],0.9817215021601862,0.9818423517326808,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,True,60.94114327430725,0.97,[1.         0.93333333],[0.9375 1.    ],[0.96774194 0.96551724],[32 28],0.9666295884315907,0.9667037449017428,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,49.6398344039917,0.97,[1.         0.93939394],[0.94117647 1.        ],[0.96969697 0.96875   ],[34 31],0.9692234848484848,0.969245337995338,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,42.30102205276489,0.97,[1.         0.94594595],[0.94285714 1.        ],[0.97058824 0.97222222],[35 35],0.97140522875817,0.9714052287581698,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,38.44967603683472,0.97,[1.         0.94871795],[0.94736842 1.        ],[0.97297297 0.97368421],[38 37],0.9733285917496444,0.9733238501659556,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,36.73192405700684,0.97,[1.   0.95],[0.95238095 1.        ],[0.97560976 0.97435897],[42 38],0.9749843652282676,0.9750156347717324,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,45.70533657073975,0.98,[1.         0.95454545],[0.95348837 1.        ],[0.97619048 0.97674419],[43 42],0.976467331118494,0.9764640740016935,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,57.75639462471008,0.98,[1.         0.95833333],[0.95454545 1.        ],[0.97674419 0.9787234 ],[44 46],0.9777337951509152,0.9777557864643464,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,49.92750930786133,0.98,[1.   0.96],[0.95744681 1.        ],[0.97826087 0.97959184],[47 48],0.9789263531499556,0.9789333582403212,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,52.74155569076538,0.98,[1.         0.96226415],[0.95918367 1.        ],[0.97916667 0.98076923],[49 51],0.9799679487179488,0.9799839743589744,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,False,44.1332733631134,0.98,[1.         0.96428571],[0.96078431 1.        ],[0.98       0.98181818],[51 54],0.980909090909091,0.980935064935065,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,False,44.33739018440247,0.98,[1.         0.96666667],[0.96153846 1.        ],[0.98039216 0.98305085],[52 58],0.9817215021601862,0.9817940119036828,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,False,50.03945565223694,0.98,[1.         0.96774194],[0.96363636 1.        ],[0.98148148 0.98360656],[55 60],0.9825440194292654,0.9825902167313428,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,51.21904182434082,0.98,[1.         0.96923077],[0.96491228 1.        ],[0.98214286 0.984375  ],[57 63],0.9832589285714286,0.9833147321428573,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,False,37.60520768165589,0.98,[1.         0.97014925],[0.96666667 1.        ],[0.98305085 0.98484848],[60 65],0.983949666153056,0.9839856189008732,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
25,25,False,36.79995584487915,0.98,[1.         0.97101449],[0.96825397 1.        ],[0.98387097 0.98529412],[63 67],0.9845825426944972,0.9846044373084222,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
26,26,False,36.011013984680176,0.99,[1.         0.97142857],[0.97014925 1.        ],[0.98484848 0.98550725],[67 68],0.9851778656126482,0.9851803054701608,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
27,27,False,39.5044424533844,0.99,[1.         0.97260274],[0.97101449 1.        ],[0.98529412 0.98611111],[69 71],0.985702614379085,0.9857084500466852,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
