Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,False,48.63066029548645,1.0,[1. 1.],[1. 1.],[1. 1.],[2 3],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,48.12065291404724,1.0,[1. 1.],[1. 1.],[1. 1.],[4 6],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,41.1225814819336,1.0,[1. 1.],[1. 1.],[1. 1.],[6 9],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,42.76936411857605,1.0,[1. 1.],[1. 1.],[1. 1.],[ 8 12],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,37.1111319065094,1.0,[1. 1.],[1. 1.],[1. 1.],[10 15],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,48.78104615211487,1.0,[1. 1.],[1. 1.],[1. 1.],[14 16],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,42.40249562263489,1.0,[1. 1.],[1. 1.],[1. 1.],[17 18],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,44.32878518104553,1.0,[1. 1.],[1. 1.],[1. 1.],[21 19],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,True,468.1221492290497,1.0,[1. 1.],[1. 1.],[1. 1.],[23 22],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,35.25085711479187,1.0,[1. 1.],[1. 1.],[1. 1.],[27 23],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,True,573.7312071323395,1.0,[1. 1.],[1. 1.],[1. 1.],[27 28],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,46.84635210037232,1.0,[1. 1.],[1. 1.],[1. 1.],[29 31],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,44.1842155456543,1.0,[1. 1.],[1. 1.],[1. 1.],[30 35],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,44.357011556625366,1.0,[1. 1.],[1. 1.],[1. 1.],[32 38],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,39.87408185005188,1.0,[1. 1.],[1. 1.],[1. 1.],[35 40],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,44.99278950691223,1.0,[1. 1.],[1. 1.],[1. 1.],[37 43],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,36.87582874298096,1.0,[1. 1.],[1. 1.],[1. 1.],[41 44],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,37.10241389274597,1.0,[1. 1.],[1. 1.],[1. 1.],[44 46],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
