Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,92.387353181839,0.4,[1.   0.25],[0.25 1.  ],[0.4 0.4],[4 1],0.4,0.4,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,42.80772495269776,0.7,[1.  0.5],[0.57142857 1.        ],[0.72727273 0.66666667],[7 3],0.696969696969697,0.7090909090909091,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,42.09951400756836,0.8,[1.         0.66666667],[0.66666667 1.        ],[0.8 0.8],[9 6],0.8,0.8,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,52.12719964981079,0.85,[1.         0.76923077],[0.7 1. ],[0.82352941 0.86956522],[10 10],0.8465473145780051,0.846547314578005,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,63.29334592819214,0.88,[1.     0.8125],[0.75 1.  ],[0.85714286 0.89655172],[12 13],0.8768472906403941,0.8776354679802956,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,55.128464460372925,0.9,[1.         0.84210526],[0.78571429 1.        ],[0.88       0.91428571],[14 16],0.8971428571428571,0.8982857142857142,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,58.86808514595032,0.91,[1.         0.85714286],[0.82352941 1.        ],[0.90322581 0.92307692],[17 18],0.913151364764268,0.9134349521446296,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,57.73868179321289,0.93,[1.         0.88461538],[0.82352941 1.        ],[0.90322581 0.93877551],[17 23],0.9210006583278472,0.9236668861092824,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,53.983177185058594,0.93,[1.  0.9],[0.83333333 1.        ],[0.90909091 0.94736842],[18 27],0.9282296650717704,0.9320574162679426,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,58.90766954421997,0.94,[1.         0.91176471],[0.84210526 1.        ],[0.91428571 0.95384615],[19 31],0.934065934065934,0.9388131868131868,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,False,42.65762782096863,0.95,[1.         0.91891892],[0.85714286 1.        ],[0.92307692 0.95774648],[21 34],0.9404117009750812,0.944509012114646,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,True,65.07641339302063,0.93,[0.95  0.925],[0.86363636 0.97368421],[0.9047619  0.94871795],[22 38],0.9267399267399268,0.9326007326007326,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,48.642847299575806,0.94,[0.95238095 0.93181818],[0.86956522 0.97619048],[0.90909091 0.95348837],[23 42],0.9312896405919662,0.9377785005691984,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
