Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,False,51.016398429870605,1.0,[1.],[1.],[1.],[5],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,True,150.0721526145935,1.0,[1. 1.],[1. 1.],[1. 1.],[2 8],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,True,225.75525546073916,0.93,[1.         0.92307692],[0.66666667 1.        ],[0.8  0.96],[ 3 12],0.88,0.928,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,52.666566133499146,0.95,[1.         0.94117647],[0.75 1.  ],[0.85714286 0.96969697],[ 4 16],0.9134199134199136,0.9471861471861472,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,56.35218358039856,0.96,[1.         0.94736842],[0.85714286 1.        ],[0.92307692 0.97297297],[ 7 18],0.948024948024948,0.959002079002079,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,True,349.5375189781189,0.93,[1.         0.91304348],[0.77777778 1.        ],[0.875      0.95454545],[ 9 21],0.9147727272727272,0.9306818181818184,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,True,416.4810450077057,0.94,[1.         0.92592593],[0.8 1. ],[0.88888889 0.96153846],[10 25],0.9252136752136751,0.940781440781441,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,46.53032541275024,0.95,[1.         0.93333333],[0.83333333 1.        ],[0.90909091 0.96551724],[12 28],0.9373040752351096,0.94858934169279,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,44.6722948551178,0.96,[1.         0.93939394],[0.85714286 1.        ],[0.92307692 0.96875   ],[14 31],0.9459134615384616,0.9545405982905982,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,True,587.7626194953918,0.94,[1.         0.91428571],[0.83333333 1.        ],[0.90909091 0.95522388],[18 32],0.932157394843962,0.9386160108548168,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,False,51.18989372253418,0.95,[1.         0.92105263],[0.85 1.  ],[0.91891892 0.95890411],[20 35],0.93891151425398,0.9443640402544512,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,True,721.4078996181488,0.93,[1.         0.90243902],[0.82608696 1.        ],[0.9047619  0.94871795],[23 37],0.9267399267399268,0.931868131868132,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,51.97340273857117,0.94,[1.         0.91111111],[0.83333333 1.        ],[0.90909091 0.95348837],[24 41],0.9312896405919662,0.937095462676858,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,49.991661071777344,0.94,[1.         0.91666667],[0.84615385 1.        ],[0.91666667 0.95652174],[26 44],0.9365942028985508,0.9417184265010352,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,41.75518012046814,0.95,[1.         0.91836735],[0.86666667 1.        ],[0.92857143 0.95744681],[30 45],0.9430091185410334,0.9458966565349544,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,61.02271389961243,0.95,[1.         0.92307692],[0.875 1.   ],[0.93333333 0.96      ],[32 48],0.9466666666666668,0.9493333333333333,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
