Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,61.8112907409668,0.6,[1. 0.],[0.6 0. ],[0.75 0.  ],[5 0],0.375,0.75,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,49.448081731796265,0.8,[1.  0.5],[0.75 1.  ],[0.85714286 0.66666667],[8 2],0.7619047619047619,0.819047619047619,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,True,76.40781998634338,0.8,[1.         0.66666667],[0.66666667 1.        ],[0.8 0.8],[9 6],0.8,0.8,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,44.27952265739441,0.85,[1.         0.72727273],[0.75 1.  ],[0.85714286 0.84210526],[12  8],0.849624060150376,0.8511278195488721,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,True,122.7792944908142,0.76,[0.90909091 0.64285714],[0.66666667 0.9       ],[0.76923077 0.75      ],[15 10],0.7596153846153846,0.7615384615384616,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,True,132.1682801246643,0.7,[0.90909091 0.57894737],[0.55555556 0.91666667],[0.68965517 0.70967742],[18 12],0.699666295884316,0.6976640711902113,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,True,85.60480856895447,0.71,[0.83333333 0.65217391],[0.55555556 0.88235294],[0.66666667 0.75      ],[18 17],0.7083333333333333,0.7071428571428572,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,45.760162353515625,0.75,[0.875      0.66666667],[0.63636364 0.88888889],[0.73684211 0.76190476],[22 18],0.7493734335839599,0.7481203007518797,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,True,179.4818470478058,0.71,[0.77777778 0.66666667],[0.60869565 0.81818182],[0.68292683 0.73469388],[23 22],0.7088103534096566,0.708235163984293,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,55.432533502578735,0.74,[0.81818182 0.67857143],[0.66666667 0.82608696],[0.73469388 0.74509804],[27 23],0.7398959583833533,0.7394797919167666,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,False,48.49422550201416,0.76,[0.84 0.7 ],[0.7  0.84],[0.76363636 0.76363636],[30 25],0.7636363636363637,0.7636363636363637,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,True,92.15788960456848,0.77,[0.85714286 0.6875    ],[0.70588235 0.84615385],[0.77419355 0.75862069],[34 26],0.7664071190211346,0.7674453096032628,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,46.21104025840759,0.78,[0.87878788 0.6875    ],[0.74358974 0.84615385],[0.80555556 0.75862069],[39 26],0.782088122605364,0.7867816091954023,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,True,106.22212672233582,0.79,[0.85294118 0.72222222],[0.74358974 0.83870968],[0.79452055 0.7761194 ],[39 31],0.7853199754651401,0.7863714694628618,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,59.37155199050903,0.8,[0.86486486 0.73684211],[0.76190476 0.84848485],[0.81012658 0.78873239],[42 33],0.7994294883223391,0.800713139597076,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,True,108.31700325012208,0.79,[0.84615385 0.73170732],[0.75       0.83333333],[0.79518072 0.77922078],[44 36],0.7872007510561727,0.7879987482397122,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,43.34877347946167,0.8,[0.86363636 0.73170732],[0.7755102  0.83333333],[0.8172043  0.77922078],[49 36],0.798212540148024,0.8011171624074851,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,43.67130136489868,0.81,[0.875      0.73809524],[0.79245283 0.83783784],[0.83168317 0.78481013],[53 37],0.8082466474495551,0.812413140048182,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,True,81.85571360588074,0.81,[0.86538462 0.74418605],[0.80357143 0.82051282],[0.83333333 0.7804878 ],[56 39],0.806910569105691,0.8116388532306376,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,46.6447479724884,0.82,[0.87272727 0.75555556],[0.81355932 0.82926829],[0.84210526 0.79069767],[59 41],0.8164014687882497,0.8210281517747857,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,True,81.96053719520569,0.82,[0.88135593 0.73913043],[0.8125     0.82926829],[0.84552846 0.7816092 ],[64 41],0.8135688253434259,0.8205695061876728,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,False,40.34084272384644,0.83,[0.88888889 0.74468085],[0.82352941 0.83333333],[0.85496183 0.78651685],[68 42],0.8207393429968265,0.8288282949574655,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,False,43.77178239822388,0.83,[0.89705882 0.74468085],[0.83561644 0.83333333],[0.86524823 0.78651685],[73 42],0.8258825404414695,0.8364941602829951,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,49.776562213897705,0.84,[0.9  0.76],[0.84       0.84444444],[0.86896552 0.8       ],[75 45],0.8344827586206897,0.843103448275862,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,False,41.9742579460144,0.85,[0.90540541 0.76470588],[0.84810127 0.84782609],[0.87581699 0.80412371],[79 46],0.8399703524021293,0.849433865642477,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
25,25,False,50.15542793273926,0.85,[0.90909091 0.77358491],[0.85365854 0.85416667],[0.88050314 0.81188119],[82 48],0.84619216638645,0.8551658068564477,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
26,26,False,43.092177391052246,0.86,[0.91463415 0.77358491],[0.86206897 0.85416667],[0.88757396 0.81188119],[87 48],0.8497275763079266,0.8606609773403376,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
27,27,False,41.3965060710907,0.86,[0.91764706 0.78181818],[0.86666667 0.86      ],[0.89142857 0.81904762],[90 50],0.8552380952380952,0.865578231292517,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
28,28,False,41.02705907821655,0.87,[0.92222222 0.78181818],[0.87368421 0.86      ],[0.8972973  0.81904762],[95 50],0.8581724581724581,0.8703146496249944,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
29,FINAL_ITER_EVAL,False,0.0,0.87,[0.92222222 0.78181818],[0.87368421 0.86      ],[0.8972973  0.81904762],[95 50],0.8581724581724581,0.8703146496249944,False,0.64,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
