Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,167.29724955558777,0.4,[1.   0.25],[0.25 1.  ],[0.4 0.4],[4 1],0.4,0.4,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,True,212.02562165260315,0.5,[0.8 0.2],[0.5 0.5],[0.61538462 0.28571429],[8 2],0.4505494505494505,0.5494505494505495,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,True,237.9687538146973,0.67,[1.    0.375],[0.58333333 1.        ],[0.73684211 0.54545455],[12  3],0.6411483253588517,0.6985645933014354,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,True,358.1158790588379,0.7,[1.  0.4],[0.625 1.   ],[0.76923077 0.57142857],[16  4],0.6703296703296704,0.7296703296703297,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,True,378.2698750495911,0.56,[0.91666667 0.23076923],[0.52380952 0.75      ],[0.66666667 0.35294118],[21  4],0.5098039215686274,0.6164705882352941,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,True,456.1993730068207,0.67,[1.    0.375],[0.58333333 1.        ],[0.73684211 0.54545455],[24  6],0.6411483253588517,0.6985645933014354,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,True,504.8011453151703,0.66,[1.         0.33333333],[0.5862069 1.       ],[0.73913043 0.5       ],[29  6],0.6195652173913043,0.698136645962733,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,True,599.2674465179443,0.68,[1.         0.31578947],[0.61764706 1.        ],[0.76363636 0.48      ],[34  6],0.6218181818181818,0.7210909090909091,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,True,591.6841247081757,0.71,[1.         0.38095238],[0.64864865 1.        ],[0.78688525 0.55172414],[37  8],0.6693046919163369,0.7450788267068652,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,64.5776162147522,0.74,[1.   0.48],[0.65789474 1.        ],[0.79365079 0.64864865],[38 12],0.7211497211497211,0.7588502788502788,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,True,669.9133758544922,0.75,[1.         0.48148148],[0.66666667 1.        ],[0.8  0.65],[42 13],0.7250000000000001,0.7645454545454546,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,True,674.4175772666931,0.97,[0.95744681 1.        ],[1.         0.86666667],[0.97826087 0.92857143],[45 15],0.9534161490683232,0.9658385093167702,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,39.570924282073975,0.97,[0.96078431 1.        ],[1.    0.875],[0.98       0.93333333],[49 16],0.9566666666666668,0.9685128205128204,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,43.70531439781189,0.97,[0.96363636 1.        ],[1.         0.88235294],[0.98148148 0.9375    ],[53 17],0.9594907407407408,0.9708002645502646,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,45.927953243255615,0.97,[0.96610169 1.        ],[1.         0.88888889],[0.98275862 0.94117647],[57 18],0.9619675456389452,0.9727789046653144,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,True,857.5113224983215,0.95,[0.98305085 0.85714286],[0.95081967 0.94736842],[0.96666667 0.9       ],[61 19],0.9333333333333332,0.9508333333333332,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,49.0243456363678,0.95,[0.98412698 0.86363636],[0.95384615 0.95      ],[0.96875   0.9047619],[65 20],0.9367559523809524,0.9536939775910364,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,True,1020.7316515445708,0.87,[0.98275862 0.65625   ],[0.83823529 0.95454545],[0.9047619  0.77777778],[68 22],0.8412698412698413,0.8737213403880071,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,50.09950637817383,0.87,[0.98360656 0.67647059],[0.84507042 0.95833333],[0.90909091 0.79310345],[71 24],0.8510971786833856,0.8797888137271077,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,True,1111.9195938110352,0.67,[1.         0.44067797],[0.55405405 1.        ],[0.71304348 0.61176471],[74 26],0.6624040920716112,0.6867109974424552,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,True,1233.6344447135923,0.87,[0.97014925 0.68421053],[0.84415584 0.92857143],[0.90277778 0.78787879],[77 28],0.8453282828282829,0.8721380471380471,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,True,1230.44331073761,0.85,[0.95774648 0.66666667],[0.83950617 0.89655172],[0.89473684 0.76470588],[81 29],0.8297213622291022,0.8604559527160146,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,True,1293.9072732925415,0.83,[0.97058824 0.63829787],[0.79518072 0.9375    ],[0.87417219 0.75949367],[83 32],0.8168329281582698,0.8422616422528948,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,52.54866909980774,0.84,[0.97222222 0.64583333],[0.8045977  0.93939394],[0.88050314 0.7654321 ],[87 33],0.8229676217097601,0.8488586070347078,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,True,1407.5317831039429,0.93,[0.94565217 0.87878788],[0.95604396 0.85294118],[0.95081967 0.86567164],[91 34],0.9082456569610962,0.9276594078786397,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
25,25,False,56.91562294960022,0.93,[0.94623656 0.89189189],[0.95652174 0.86842105],[0.95135135 0.88      ],[92 38],0.9156756756756756,0.9304948024948024,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
26,26,False,59.32109498977661,0.93,[0.94680851 0.90243902],[0.95698925 0.88095238],[0.95187166 0.89156627],[93 42],0.9217189614071258,0.93310998002706,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
27,27,True,1549.3120567798617,0.92,[0.93814433 0.88372093],[0.94791667 0.86363636],[0.94300518 0.87356322],[96 44],0.9082841998689776,0.9211805644180132,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
28,28,True,1624.6321601867676,0.93,[0.93939394 0.91304348],[0.95876289 0.875     ],[0.94897959 0.89361702],[97 48],0.9212983065566652,0.9306526719271716,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
29,FINAL_ITER_EVAL,False,0.0,0.93,[0.93939394 0.91304348],[0.95876289 0.875     ],[0.94897959 0.89361702],[97 48],0.9212983065566652,0.9306526719271716,False,0.63,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
