Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,66.34772896766663,0.8,[1.         0.66666667],[0.66666667 1.        ],[0.8 0.8],[3 2],0.8,0.8,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,35.63090634346008,0.9,[1.         0.66666667],[0.875 1.   ],[0.93333333 0.8       ],[8 2],0.8666666666666667,0.9066666666666666,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,54.55848813056946,0.93,[1.         0.83333333],[0.9 1. ],[0.94736842 0.90909091],[10  5],0.9282296650717704,0.934609250398724,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,True,60.09330034255981,0.9,[0.92307692 0.85714286],[0.92307692 0.85714286],[0.92307692 0.85714286],[13  7],0.8901098901098901,0.9,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,56.68492746353149,0.92,[0.92857143 0.90909091],[0.92857143 0.90909091],[0.92857143 0.90909091],[14 11],0.9188311688311688,0.92,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,48.11054706573486,0.93,[0.9375     0.92857143],[0.9375     0.92857143],[0.9375     0.92857143],[16 14],0.9330357142857144,0.9333333333333332,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,True,57.58621525764465,0.91,[0.9        0.93333333],[0.94736842 0.875     ],[0.92307692 0.90322581],[19 16],0.913151364764268,0.9140021269053528,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,51.91629099845886,0.93,[0.90909091 0.94444444],[0.95238095 0.89473684],[0.93023256 0.91891892],[21 19],0.9245757385292268,0.9248585795097424,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,39.85264825820923,0.93,[0.92307692 0.94736842],[0.96 0.9 ],[0.94117647 0.92307692],[25 20],0.9321266968325792,0.9331322272498744,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,43.40531015396118,0.94,[0.92857143 0.95454545],[0.96296296 0.91304348],[0.94545455 0.93333333],[27 23],0.9393939393939394,0.939878787878788,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,True,68.64270687103271,0.93,[0.9  0.96],[0.96428571 0.88888889],[0.93103448 0.92307692],[28 27],0.927055702917772,0.9271280443694236,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,45.84342241287232,0.93,[0.90909091 0.96296296],[0.96774194 0.89655172],[0.9375     0.92857143],[31 29],0.9330357142857144,0.933184523809524,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,True,63.310187101364136,0.92,[0.88888889 0.96551724],[0.96969697 0.875     ],[0.92753623 0.91803279],[33 32],0.922784509384652,0.9228576128077196,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,66.6556077003479,0.93,[0.89189189 0.96969697],[0.97058824 0.88888889],[0.92957746 0.92753623],[34 36],0.9285568483363952,0.9285276878663284,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,44.3209855556488,0.93,[0.8974359  0.97222222],[0.97222222 0.8974359 ],[0.93333333 0.93333333],[36 39],0.9333333333333332,0.9333333333333332,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,37.36907744407654,0.94,[0.90697674 0.97297297],[0.975 0.9  ],[0.93975904 0.93506494],[40 40],0.9374119856047568,0.9374119856047568,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,49.67728233337402,0.94,[0.90909091 0.97560976],[0.97560976 0.90909091],[0.94117647 0.94117647],[41 44],0.9411764705882352,0.9411764705882352,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,47.66246628761292,0.94,[0.91304348 0.97727273],[0.97674419 0.91489362],[0.94382022 0.94505495],[43 47],0.944437584887023,0.9444650231167084,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,46.88263630867005,0.95,[0.91836735 0.97826087],[0.97826087 0.91836735],[0.94736842 0.94736842],[46 49],0.9473684210526316,0.9473684210526316,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,44.5229914188385,0.95,[0.92307692 0.97916667],[0.97959184 0.92156863],[0.95049505 0.94949495],[49 51],0.94999499949995,0.94998499849985,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,False,41.104769468307495,0.95,[0.92727273 0.98      ],[0.98076923 0.9245283 ],[0.95327103 0.95145631],[52 53],0.9523636693584974,0.95235502784727,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,False,40.03187203407288,0.95,[0.93103448 0.98076923],[0.98181818 0.92727273],[0.95575221 0.95327103],[55 55],0.954511620213382,0.954511620213382,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,True,69.01845812797546,0.95,[0.93220339 0.96428571],[0.96491228 0.93103448],[0.94827586 0.94736842],[57 58],0.9478221415607986,0.9478181961650752,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,34.95913624763489,0.95,[0.9375     0.96428571],[0.96774194 0.93103448],[0.95238095 0.94736842],[62 58],0.949874686716792,0.9499582289055972,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,False,52.96548795700073,0.95,[0.93939394 0.96610169],[0.96875    0.93442623],[0.95384615 0.95      ],[64 61],0.9519230769230768,0.9519692307692308,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
25,25,False,41.44599008560181,0.95,[0.94202899 0.96721311],[0.97014925 0.93650794],[0.95588235 0.9516129 ],[67 63],0.9537476280834916,0.9538133119252664,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
26,26,False,46.31850028038025,0.96,[0.94285714 0.96923077],[0.97058824 0.94029851],[0.95652174 0.95454545],[68 67],0.9555335968379448,0.9555409164104816,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
27,27,False,43.82697558403015,0.96,[0.94444444 0.97058824],[0.97142857 0.94285714],[0.95774648 0.95652174],[70 70],0.957134109001837,0.957134109001837,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
28,28,False,41.35308337211609,0.96,[0.94594595 0.97183099],[0.97222222 0.94520548],[0.95890411 0.95833333],[72 73],0.9586187214611872,0.958616753267202,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
29,FINAL_ITER_EVAL,False,0.0,0.96,[0.94594595 0.97183099],[0.97222222 0.94520548],[0.95890411 0.95833333],[72 73],0.9586187214611872,0.958616753267202,False,0.96,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
