Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,79.09419369697571,0.8,[0.  0.8],[0. 1.],[0.         0.88888889],[1 4],0.4444444444444444,0.711111111111111,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,71.73851299285889,0.9,[0.  0.9],[0. 1.],[0.         0.94736842],[1 9],0.4736842105263157,0.8526315789473683,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,True,72.47220993041992,0.87,[1.         0.85714286],[0.33333333 1.        ],[0.5        0.92307692],[ 3 12],0.7115384615384616,0.8384615384615385,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,57.67596936225891,0.9,[1.         0.88235294],[0.6 1. ],[0.75   0.9375],[ 5 15],0.84375,0.890625,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,53.56494975090027,0.92,[1.         0.90909091],[0.6 1. ],[0.75       0.95238095],[ 5 20],0.8511904761904762,0.911904761904762,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,True,59.26220631599426,0.9,[1.         0.88461538],[0.57142857 1.        ],[0.72727273 0.93877551],[ 7 23],0.8330241187384044,0.8894248608534323,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,True,81.34063625335693,0.89,[1.         0.87096774],[0.5 1. ],[0.66666667 0.93103448],[ 8 27],0.7988505747126436,0.870607553366174,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,47.95642995834351,0.9,[1.         0.87878788],[0.63636364 1.        ],[0.77777778 0.93548387],[11 29],0.8566308243727598,0.8921146953405017,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,59.971306800842285,0.91,[1.         0.88888889],[0.69230769 1.        ],[0.81818182 0.94117647],[13 32],0.8796791443850267,0.9056446821152704,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,64.79007315635681,0.92,[1.  0.9],[0.71428571 1.        ],[0.83333333 0.94736842],[14 36],0.8903508771929824,0.915438596491228,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,True,83.4092845916748,0.91,[1.         0.88636364],[0.6875 1.    ],[0.81481481 0.93975904],[16 39],0.8772869254796966,0.9034116263031928,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,43.9332230091095,0.92,[1.         0.89583333],[0.70588235 1.        ],[0.82758621 0.94505495],[17 43],0.8863205759757484,0.9117721359100668,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,59.75424551963806,0.92,[1.         0.90566038],[0.70588235 1.        ],[0.82758621 0.95049505],[17 48],0.889040628200751,0.918349659899677,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,55.27673268318176,0.93,[1.         0.91071429],[0.73684211 1.        ],[0.84848485 0.95327103],[19 51],0.9008779382611158,0.9248290650159808,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,51.75586795806885,0.93,[1.         0.91803279],[0.73684211 1.        ],[0.84848485 0.95726496],[19 56],0.9028749028749028,0.9297073297073296,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,48.69941854476929,0.94,[1.         0.92063492],[0.77272727 1.        ],[0.87179487 0.95867769],[22 58],0.9152362788726424,0.9347849120576394,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,True,72.40843772888184,0.93,[0.94444444 0.92537313],[0.77272727 0.98412698],[0.85       0.95384615],[22 63],0.9019230769230768,0.9269683257918552,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,51.10501718521118,0.93,[0.95238095 0.92753623],[0.8        0.98461538],[0.86956522 0.95522388],[25 65],0.9123945489941596,0.9314298074843176,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,59.77621555328369,0.94,[0.95454545 0.93150685],[0.80769231 0.98550725],[0.875      0.95774648],[26 69],0.9163732394366196,0.9351000741289844,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,46.444804668426514,0.94,[0.96       0.93333333],[0.82758621 0.98591549],[0.88888889 0.95890411],[29 71],0.9238964992389648,0.9385996955859968,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,False,52.015713930130005,0.94,[0.96   0.9375],[0.82758621 0.98684211],[0.88888889 0.96153846],[29 76],0.9252136752136751,0.9414733414733416,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,False,48.9974045753479,0.95,[0.96153846 0.94047619],[0.83333333 0.9875    ],[0.89285714 0.96341463],[30 80],0.928135888501742,0.94417168197656,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,False,55.39332151412964,0.95,[0.96296296 0.94318182],[0.83870968 0.98809524],[0.89655172 0.96511628],[31 84],0.9308340016038492,0.9466336599142288,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,54.36699533462525,0.95,[0.96428571 0.94565217],[0.84375    0.98863636],[0.9        0.96666667],[32 88],0.9333333333333332,0.9488888888888888,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,False,56.70164251327515,0.95,[0.96428571 0.94845361],[0.84375    0.98924731],[0.9        0.96842105],[32 93],0.9342105263157896,0.9509052631578948,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
