Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,134.45066475868225,0.4,[1.   0.25],[0.25 1.  ],[0.4 0.4],[4 1],0.4,0.4,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,50.87119555473328,0.7,[1.  0.5],[0.57142857 1.        ],[0.72727273 0.66666667],[7 3],0.696969696969697,0.7090909090909091,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,48.81755781173706,0.8,[1.         0.72727273],[0.57142857 1.        ],[0.72727273 0.84210526],[7 8],0.784688995215311,0.7885167464114832,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,True,254.50965905189517,0.9,[1.         0.84615385],[0.77777778 1.        ],[0.875      0.91666667],[ 9 11],0.8958333333333333,0.8979166666666666,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,52.70769810676575,0.92,[1.         0.88235294],[0.8 1. ],[0.88888889 0.9375    ],[10 15],0.9131944444444444,0.9180555555555556,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,63.52336001396179,0.93,[1.        0.9047619],[0.81818182 1.        ],[0.9  0.95],[11 19],0.925,0.9316666666666668,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,65.66429495811462,0.94,[1.         0.92307692],[0.81818182 1.        ],[0.9  0.96],[11 24],0.93,0.9411428571428572,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,53.79760885238648,0.95,[1.         0.93548387],[0.81818182 1.        ],[0.9        0.96666667],[11 29],0.9333333333333332,0.9483333333333336,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,79.2786955833435,0.96,[1.         0.94444444],[0.81818182 1.        ],[0.9        0.97142857],[11 34],0.9357142857142856,0.953968253968254,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,44.23699474334717,0.96,[1.         0.94871795],[0.84615385 1.        ],[0.91666667 0.97368421],[13 37],0.9451754385964912,0.958859649122807,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
